ageGroup,Num,Percent
16 to 24,150421,0.22626334037800558
25 to 32,265208,0.39892600085739427
33 to 40,123239,0.18537616293499598
41 to 48,64253,0.0966493934311565
49 to 56,42518,0.06395559600183512
57 to 64,15387,0.023145132783297356
65 to 72,3433,0.0051639202472905585
73 to 80,346,5.204533660246237E-4
