ageGroup,Num,Percent
16 to 24,969334,0.07340404248001092
25 to 32,4231395,0.3204277352591633
33 to 40,3143687,0.2380596719932016
41 to 48,2036364,0.15420623805702158
49 to 56,1601502,0.12127576340025466
57 to 64,924212,0.06998712199152805
65 to 72,256124,0.019395313665001246
73 to 80,42840,0.003244113153818671
