endStationName,Number
"Pershing Square North",28000
"E 10 St & Avenue A",27266
"Carmine St & 6 Ave",19403
"West St & Chambers St",19279
"W 21 St & 6 Ave",18844
"Broadway & E 14 St",18593
"W 41 St & 8 Ave",18237
"1 Ave & E 16 St",17874
"Christopher St & Greenwich St",17646
"E 17 St & Broadway",17160
