endStationName,Number
"Pershing Square North",49404
"E 17 St & Broadway",38369
"W 21 St & 6 Ave",35696
"W 33 St & 7 Ave",35318
"8 Ave & W 31 St",34183
"W 41 St & 8 Ave",33046
"8 Ave & W 33 St",30822
"Broadway & E 22 St",29946
"12 Ave & W 40 St",29748
"Broadway & E 14 St",29023
