endStationName,Number
"E 10 St & Avenue A",6840
"1 Ave & E 16 St",6252
"W 41 St & 8 Ave",5609
"E 7 St & Avenue A",5325
"Carmine St & 6 Ave",5231
"Allen St & Stanton St",5205
"E 13 St & Avenue A",4847
"Broadway & E 14 St",4747
"St Marks Pl & 1 Ave",4708
"St Marks Pl & 2 Ave",4637
